Year,UMCSI,VIX,PMI,SPDirection
2008,63,20.65,0,1
2008,70.3,39.389999,0,0
2008,57.6,59.889999,0,0
2008,55.3,55.279999,0,0
2008,60.1,40,0,1
2008,61.2,44.84,0,0
2009,56.3,46.349998,0,0
2009,57.3,44.139999,0,1
2009,65.1,36.5,0,1
2009,68.7,28.92,0,1
2009,70.8,26.35,0,1
2009,66,25.92,0,1
2009,65.7,26.01,1,1
2009,73.5,25.610001,1,1
2009,70.6,30.690001,1,0
2009,67.4,24.51,1,1
2009,72.5,21.68,1,1
2009,74.4,24.620001,1,0
2010,73.6,19.5,1,1
2010,73.6,17.59,1,1
2010,72.2,22.049999,1,1
2010,73.6,32.07,1,0
2010,76,34.540001,1,0
2010,67.8,23.5,1,1
2010,68.9,26.049999,1,0
2010,68.2,23.700001,1,1
2010,67.7,21.200001,1,1
2010,71.6,23.540001,1,0
2010,74.5,17.75,1,1
2010,74.2,19.530001,1,1
2011,77.5,18.35,1,1
2011,67.5,17.74,1,0
2011,69.8,14.75,1,1
2011,74.3,15.45,1,0
2011,71.5,16.52,1,0
2011,63.7,25.25,1,0
2011,55.8,31.620001,1,0
2011,59.5,42.959999,1,0
2011,60.8,29.959999,1,1
2011,63.7,27.799999,1,0
2011,69.9,23.4,1,1
2011,75,19.440001,1,1
2012,75.3,18.43,1,1
2012,76.2,15.5,1,1
2012,76.4,17.15,1,0
2012,79.3,24.059999,1,0
2012,73.2,17.08,1,1
2012,72.3,18.93,1,1
2012,74.3,17.469999,1,1
2012,78.3,15.73,1,1
2012,82.6,18.6,1,0
2012,82.7,15.87,0,1
2012,72.9,18.02,0,1
2012,73.8,14.28,1,1
2013,77.6,15.51,1,1
2013,78.6,12.7,1,1
2013,76.4,13.52,1,1
2013,84.5,16.299999,1,1
2013,84.1,16.860001,1,0
2013,85.1,13.45,1,1
2013,82.1,17.01,1,0
2013,77.5,16.6,1,1
2013,73.2,13.75,1,1
2013,75.1,13.7,1,1
2013,82.5,13.72,1,1
2013,81.2,18.41,1,0
2014,81.6,14,1,1
2014,80,13.88,1,1
2014,84.1,13.41,1,1
2014,81.9,11.4,1,1
2014,82.5,11.57,1,1
2014,81.8,16.950001,1,0
2014,82.5,12.09,1,1
2014,84.6,16.309999,1,0
2014,86.9,14.03,1,1
2014,88.8,13.33,1,1
2014,93.6,19.200001,1,0
2014,98.1,20.969999,1,0
2015,95.4,13.34,1,1
2015,93,15.29,1,0
2015,95.9,14.55,1,1
2015,90.7,13.84,1,1
2015,96.1,18.23,1,0
2015,93.1,12.12,1,1
2015,91.9,28.43,1,0
2015,87.2,24.5,1,0
2015,90,15.07,0,1
2015,91.3,16.129999,0,1
2015,92.6,18.209999,0,0
2015,92,20.200001,0,0
2016,91.7,20.549999,0,0
2016,91,13.95,1,1
2016,89,15.7,1,1
2016,94.7,14.19,1,1
2016,93.5,15.63,1,1
2016,90,11.87,1,1
2016,89.8,13.42,0,0
2016,91.2,13.29,1,0
2016,87.2,17.059999,1,0
2016,93.8,13.33,1,1
2016,98.2,14.04,1,1
2016,98.5,11.99,1,1
2017,96.3,12.92,1,1
2017,96.9,12.37,1,0
2017,97,10.82,1,1
2017,97.1,10.41,1,1
2017,95,11.18,1,1
2017,93.4,10.26,1,1
2017,96.8,10.59,1,1
2017,95.1,9.51,1,1
2017,100.7,10.18,1,1
2017,98.5,11.28,1,1
2017,95.9,11.04,1,1
2017,95.7,13.54,1,1
2018,99.7,19.85,1,0
2018,101.4,19.969999,1,0
2018,98.8,15.93,1,1
2018,98,15.43,1,1
2018,98.2,16.09,1,1
2018,97.9,12.83,1,1
2018,96.2,12.86,1,1
2018,100.1,12.12,1,1
2018,98.6,21.23,1,0
2018,97.5,18.07,1,1
2018,98.3,25.42,1,0
2018,91.2,16.57,1,1
2019,93.8,14.78,1,1
2019,98.4,13.71,1,1
2019,97.2,13.12,1,1
2019,100,18.709999,1,0
2019,98.2,15.08,1,1
2019,98.4,16.120001,1,1
2019,89.8,18.98,0,0
2019,93.2,16.24,0,1
2019,95.5,13.22,0,1
2019,96.8,12.62,0,1
2019,99.3,13.78,0,1
